Nutrition,Description,img,Ingredients,Storage,title,Country of Origin,Packaging,Dietary Information,Error,Manufacturer,pricePM,pricePU,Size
"<div class=""productText"">
<div class=""nutritionalContentSummary"">
<h2 class=""reference"">Per 1/2 pot (approx. 2 tbsp) Typical Values</h2>
<ul class=""lozengeBlock"">
<li class=""lozenge energy energy"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">ENERGY</h3>
<p>1249kJ</p>
<p>302kcal</p>
</div>
<div class=""percentage"">
<p>15%</p>
</div>
<p class=""access"">white</p>
</li>
<li class=""lozenge high fat"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">FAT</h3>
<p>29.0g</p>
</div>
<div class=""percentage"">
<p>41%</p>
</div>
<p class=""access"">red</p>
</li>
<li class=""lozenge high saturates"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">SATURATES</h3>
<p>6.8g</p>
</div>
<div class=""percentage"">
<p>34%</p>
</div>
<p class=""access"">red</p>
</li>
<li class=""lozenge low sugars"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">SUGARS</h3>
<p>&lt;0.5g</p>
</div>
<div class=""percentage"">
<p>&lt;1%</p>
</div>
<p class=""access"">green</p>
</li>
<li class=""lozenge medium salt"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">SALT</h3>
<p>0.94g</p>
</div>
<div class=""percentage"">
<p>16%</p>
</div>
<p class=""access"">amber</p>
</li>
</ul>
<div class=""lozengeFooter"">
<p>% of the Reference Intakes</p>
<p>Typical Values Per 100g : Energy 1665 kJ/403 kcal</p>
<p>RI= Reference intake of an average adult (8400 kJ/2000 kcal)</p>
</div>
</div>
<div>
<p>
<strong>Table of Nutritional Information</strong>
</p>
<div class=""tableWrapper"">
<table class=""nutritionTable"">
<thead>
<tr class=""tableTitleRow"">
<th scope=""col"">Typical Values</th><th scope=""col"">Per 100g </th><th scope=""col"">Per 1/2 pot (approx. 2 tbsp) </th><th scope=""col"">% based on RI for Average Adult</th>
</tr>
</thead>
<tr class=""tableRow1"">
<th class=""rowHeader"" rowspan=""2"" scope=""row"">Energy</th><td class=""tableRow1"">1665kJ</td><td class=""tableRow1"">1249kJ</td><td class=""tableRow1"">-</td>
</tr>
<tr class=""tableRow0"">
<td class=""tableRow0"">403kcal</td><td class="""">302kcal</td><td class="""">15%</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Fat</th><td class=""tableRow1"">38.6g</td><td class=""nutritionLevel3"">29.0g</td><td class=""nutritionLevel3"">41%</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Saturates</th><td class=""tableRow0"">9.0g</td><td class=""nutritionLevel3"">6.8g</td><td class=""nutritionLevel3"">34%</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Mono-unsaturates</th><td class=""tableRow1"">22.0g</td><td class="""">16.5g</td><td class="""">-</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Polyunsaturates</th><td class=""tableRow0"">5.4g</td><td class="""">4.1g</td><td class="""">-</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Carbohydrate</th><td class=""tableRow1"">3.7g</td><td class="""">2.8g</td><td class="""">1%</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Sugars</th><td class=""tableRow0"">&lt;0.5g</td><td class=""nutritionLevel1"">&lt;0.5g</td><td class=""nutritionLevel1"">-</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Starch</th><td class=""tableRow1"">3.3g</td><td class="""">2.5g</td><td class="""">-</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Fibre</th><td class=""tableRow0"">1.3g</td><td class="""">1.0g</td><td class="""">-</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Protein</th><td class=""tableRow1"">9.6g</td><td class="""">7.2g</td><td class="""">14%</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Salt</th><td class=""tableRow0"">1.25g</td><td class=""nutritionLevel2"">0.94g</td><td class=""nutritionLevel2"">16%</td>
</tr>
</table>
</div>
<p>Reference intake of an average adult (8400 kJ / 2000 kcal)</p>
<p>This pack contains 2 servings</p>
</div>
</div>","<div class=""productText"">
<p>A pesto sauce of basil, cheeses and pine nuts</p>
<p>
<p></p>
</p>
</div>",/wcsstore7.30.4.18/SainsburysStorefrontAssetStore/wcassets/product_images/2017/July/media_474474_L.jpg,"<div class=""productText"">
<p><p><strong>INGREDIENTS:</strong>Basil (24%), Pecorino Cheese (Sheep's <strong>Milk</strong>), Extra Virgin Olive Oil (15%), Rapeseed Oil, Lemon Juice, Medium Fat Hard Cheese (Cows' <strong>Milk</strong>), Pine Nuts (5%), Garlic Purée, Salt, Potato Starch .</p></p>
</div>","<div class=""productText"">
<p>For use by date: see top of pack. Keep refrigerated, once opened use within 2 days and do not exceed the use by date. </p>
<p>For best Quality, freeze as soon as possible after purchase and always within the use by date. Once frozen consume within 1 months. Once defrosted use the same day </p>
</div>",Sainsbury's Fresh Green Pesto 150g,"<div class=""productText"">
<p>Produced in England, United Kingdom</p>
</div>","<div class=""productText"">
<p>Plastic - RPET  pot</p>
<p>Plastic - RPET  pot</p>
<p>Polyester film </p>
<p>Plastic - RPET  lid</p>
<p>Plastic - RPET  lid</p>
<p>Carton board sleeve</p>
<p>Carton board sleeve</p>
</div>","<div class=""productText"">
<p>Allergy Advice<br/>For allergens, see ingredients in <strong>bold</strong></p>
</div>",,"<div class=""productText"">
<p>We are happy to replace this item if it is not satisfactory</p>
<p>Sainsbury's Supermarkets Ltd.</p>
<p>33 Holborn, London EC1N 2HT</p>
<p>Customer services 0800 636262</p>
</div>","£1.13,100,
    ","
    £1.70,
","<div class=""productText"">
<p>150g</p>
</div>"
"<div class=""productText"">
<div class=""nutritionalContentSummary"">
<h2 class=""reference"">Per 1/2 pack </h2>
<ul class=""lozengeBlock"">
<li class=""lozenge energy energy"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">ENERGY</h3>
<p>901kJ</p>
<p>216kcal</p>
</div>
<div class=""percentage"">
<p>11%</p>
</div>
<p class=""access"">white</p>
</li>
<li class=""lozenge medium fat"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">FAT</h3>
<p>12.5g</p>
</div>
<div class=""percentage"">
<p>18%</p>
</div>
<p class=""access"">amber</p>
</li>
<li class=""lozenge medium saturates"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">SATURATES</h3>
<p>3.0g</p>
</div>
<div class=""percentage"">
<p>15%</p>
</div>
<p class=""access"">amber</p>
</li>
<li class=""lozenge low sugars"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">SUGARS</h3>
<p>&lt;0.5g</p>
</div>
<div class=""percentage"">
<p>&lt;1%</p>
</div>
<p class=""access"">green</p>
</li>
<li class=""lozenge medium salt"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">SALT</h3>
<p>0.38g</p>
</div>
<div class=""percentage"">
<p>6%</p>
</div>
<p class=""access"">amber</p>
</li>
</ul>
<div class=""lozengeFooter"">
<p>% of the Reference Intakes</p>
<p> Per 100g : Energy 813 kJ/195 kcal</p>
<p>RI= Reference intake of an average adult (8400 kJ/2000 kcal)</p>
</div>
</div>
<div>
<p>
<strong>Table of Nutritional Information</strong>
</p>
<div class=""tableWrapper"">
<table class=""nutritionTable"">
<thead>
<tr class=""tableTitleRow"">
<th scope=""col""></th><th scope=""col"">Per 100g </th><th scope=""col"">Per 1/2 pack </th><th scope=""col"">% based on RI for Average Adult</th>
</tr>
</thead>
<tr class=""tableRow1"">
<th class=""rowHeader"" rowspan=""2"" scope=""row"">Energy</th><td class=""tableRow1"">813kJ</td><td class=""tableRow1"">901kJ</td><td class=""tableRow1"">-</td>
</tr>
<tr class=""tableRow0"">
<td class=""tableRow0"">195kcal</td><td class="""">216kcal</td><td class="""">11%</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Fat</th><td class=""tableRow1"">11.3g</td><td class=""nutritionLevel2"">12.5g</td><td class=""nutritionLevel2"">18%</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Saturates</th><td class=""tableRow0"">2.7g</td><td class=""nutritionLevel2"">3.0g</td><td class=""nutritionLevel2"">15%</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Mono-unsaturates</th><td class=""tableRow1"">4.0g</td><td class="""">4.4g</td><td class="""">-</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Polyunsaturates</th><td class=""tableRow0"">4.2g</td><td class="""">4.6g</td><td class="""">-</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Carbohydrate</th><td class=""tableRow1"">2.6g</td><td class="""">2.9g</td><td class="""">1%</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Sugars</th><td class=""tableRow0"">&lt;0.5g</td><td class=""nutritionLevel1"">&lt;0.5g</td><td class=""nutritionLevel1"">-</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Fibre</th><td class=""tableRow1"">0.7g</td><td class="""">0.8g</td><td class="""">-</td>
</tr>
<tr class=""tableRow0"">
<th class=""rowHeader"" scope=""row"">Protein</th><td class=""tableRow0"">20.3g</td><td class="""">22.5g</td><td class="""">45%</td>
</tr>
<tr class=""tableRow1"">
<th class=""rowHeader"" scope=""row"">Salt</th><td class=""tableRow1"">0.34g</td><td class=""nutritionLevel2"">0.38g</td><td class=""nutritionLevel2"">6%</td>
</tr>
</table>
</div>
<p>Reference intake of an average adult (8400 kJ / 2000 kcal)</p>
<p>This pack contains 2 servings</p>
</div>
</div>","<div class=""productText"">
<p>Defrosted Sea Bass filllets (Dicentrarchus labrax) with lemon and parsley</p>
<p>
             
            </p>
<p>
<p>garnished with lemon and parsley </p>
<p></p>
</p>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/85/0000000256285/0000000256285_L.jpeg,"<div class=""productText"">
<p><p><strong>INGREDIENTS:</strong>Sea Bass (Dicentrarchus labrax) (<strong>Fish</strong>) (99%), Lemon Zest, Parsley.</p></p>
</div>","<div class=""productText"">
<p>For use by date: see front of pack. Keep refrigerated, once opened consume within 24 hours days and do not exceed the use by date. </p>
<p>Freeze as soon as possible after purchase and always within the use by date/best before date. Once frozen consume within 1 months. This product may have been previously frozen and defrosted under controlled conditions without affecting the quality or safety of the product. It is still suitable for home freezing. Once defrosted use the same day. Do not refreeze once defrosted. </p>
</div>",Sainsbury's Butterflied Sea Bass 255g,"<div class=""productText"">
<p>Packed in United Kingdom</p>
<p>Farmed in Turkey</p>
</div>","<div class=""productText"">
<p>Plastic - RPET  tray</p>
<p>Plastic - PP film</p>
<p>Paper laminate linerless label</p>
</div>","<div class=""productText"">
<p>Allergy Advice<br/>For allergens, see ingredients in <strong>bold</strong></p>
</div>",,"<div class=""productText"">
<p>We are happy to replace this item if it is not satisfactory</p>
<p>Sainsbury's Supermarkets Ltd.</p>
<p>33 Holborn, London EC1N 2HT</p>
<p>Customer services 0800 636262</p>
</div>","£17.65,
    ","
    £4.50,
","<div class=""productText"">
<p>255gram  e</p>
</div>"
"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<div class=""itemTypeGroup"">
<div class=""textualNutrition"">
<h3>Nutrition</h3>
<p>
<strong>Table of Nutritional Information</strong>
</p>
<div class=""tableWrapper"" xmlns:asp=""remove"">
<table class=""nutritionTable"">
<thead>
<tr>
<th scope=""col""></th><th scope=""col"">(per 100ml):</th>
</tr>
</thead>
<tbody>
<tr>
<th class=""rowHeader"" scope=""row"">Energy:</th><td>63kJ, 15kcal</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Total Fat:</th><td>0g</td>
</tr>
<tr>
<th scope=""row""> of which saturates:</th><td>0g</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Carbohydrate:</th><td>3.8g</td>
</tr>
<tr>
<th scope=""row""> of which sugars:</th><td>2.9g</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Protein:</th><td>0g</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Salt:</th><td>0g</td>
</tr>
</tbody>
</table>
</div>
<div class=""nameTextLookups""></div>
</div>
</div>
</div>","<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Refreshingly Light Tonic Water</p>
</div>
<div class=""longTextItems"">
<p>Made with natural quinine</p>
<p>Delicious, low in calories and nothing artificial</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Using fruit sugars, we have developed this delicious reduced calorie tonic water. By blending subtle botanical flavours with spring water and quinine of the highest quality, it has the distinctive clean, crisp character of our Premium Indian Tonic Water but with 46% fewer calories.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/24/5060108450324/5060108450324_L.jpeg,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<div class=""itemTypeGroup"">
<div class=""longTextItems"">
<h3 class=""itemHeader"">Ingredients</h3>
<ul class=""productIngredients"">
<li>Carbonated Spring Water, </li>
<li>Fructose (Fruit Sugar), </li>
<li>Acid: Citric Acid, </li>
<li>Natural Flavours including Quinine</li>
</ul>
</div>
</div>
</div>","<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3 class=""printOnlyBlock partHead"">Storage</h3>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Do not store in direct sunlight. Keep refrigerated after opening and consume within three days.</p>
</div>
</div>
</div>",Fever Tree Refreshingly Light Indian Tonic Water 500ml,,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3 class=""printOnlyBlock partHead"">Packaging</h3>
<div class=""itemTypeGroup"">
<div class=""nameLookups"">
<p>Bottle</p>
</div>
</div>
</div>",,,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3 class=""printOnlyBlock partHead"">Manufacturer</h3>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Fevertree Limited,<br>186-188 Shepherds Bush Road,<br>London,<br>W6 7NL,<br>UK.</br></br></br></br></p>
</div>
</div>
</div>","£0.27,100,
    ","
    £1.35,
",
"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<div class=""itemTypeGroup"">
<div class=""textualNutrition"">
<h3>Nutrition</h3>
<div class=""nutritionalContentSummary"">
<ul class=""lozengeBlock"">
<li class=""lozenge energy energy"">
<div class=""lozengeHeaderSection"">
<h3 class=""lozengeTitle"">ENERGY</h3>
<p>595 kJ</p>
<p>140 kcal</p>
</div>
<div class=""percentage"">
<p>7%</p>
</div>
<p class=""access"">energy</p>
</li>
</ul>
<div class=""lozengeFooter"">
<p>Typical values Per 100g : Energy 1860 kJ/445 kcal</p>
<p>Reference intake of an average adult (8400 kJ/2000 kcal)</p>
</div>
</div>
<p>
<strong>Table of Nutritional Information</strong>
</p>
<div class=""tableWrapper"" xmlns:asp=""remove"">
<table class=""nutritionTable"">
<thead>
<tr>
<th scope=""col""></th><th scope=""col"">Per 100g</th><th scope=""col"">Per Bar (32g)</th><th scope=""col"">%* Per Bar (32g)</th><th scope=""col"">* Reference Intakes (Adults)</th>
</tr>
</thead>
<tbody>
<tr>
<th class=""rowHeader"" rowspan=""2"" scope=""row"">Energy </th><td>1860 kJ</td><td>595 kJ</td><td>7%</td><td>8400 kJ</td>
</tr>
<tr>
<td>445 kcal</td><td>140 kcal </td><td>-</td><td>2000 kcal</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Fat </th><td>17.0g</td><td>5.4g</td><td>8%</td><td>70g</td>
</tr>
<tr>
<th scope=""row""> of which Saturates </th><td>8.9g</td><td>2.9g</td><td>15%</td><td>20g</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Carbohydrate </th><td>64.5g</td><td>20.5g</td><td>-</td><td>260g</td>
</tr>
<tr>
<th scope=""row""> of which Sugars </th><td>37.5g</td><td>12.0g</td><td>13%</td><td>90g</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Fibre </th><td>4.8g</td><td>1.5g </td><td>-</td><td>-</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Protein </th><td>6.1g</td><td>2.0g</td><td>-</td><td>50g</td>
</tr>
<tr>
<th class=""rowHeader"" scope=""row"">Salt </th><td>0.63g</td><td>0.20g</td><td>3%</td><td>6g</td>
</tr>
<tr>
<th colspan=""5"" scope=""row"">*Reference intake of an average adult (8400 kJ/2000 kcal)</th>
</tr>
</tbody>
</table>
</div>
<div class=""nameTextLookups""></div>
</div>
</div>
</div>","<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Cereal (40%) and Milk Chocolate Chip (5%) Bar Half Covered with Milk Chocolate (22%)</p>
</div>
<div class=""longTextItems"">
<p>Delicious oats, bran flakes, milk chocolate chips, crispies, a drizzle of honey and dipped in smooth Cadbury milk chocolate</p>
<p>Contains 6 bars - ideal for lunchboxes</p>
<p>Suitable for vegetarians</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>We at Cadbury have packed our brunch bar full of tasty ingredients...<br>A delicious combination of oat flakes, bran flakes, crispies and choc chips, with a drizzle of honey and dipped in just the right amount of delicious Cadbury Milk Chocolate.<br>...a deliciously satisfying snack for any occasion.</br></br></p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/18/7622210149718/7622210149718_L.jpeg,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<div class=""itemTypeGroup"">
<div class=""longTextItems"">
<h3 class=""itemHeader"">Ingredients</h3>
<ul class=""productIngredients"">
<li><span style=""font-weight: bold;"">Oat</span> Flakes (20%), </li>
<li>Sugar, </li>
<li>Invert Sugar Syrup, </li>
<li><span style=""font-weight: bold;"">Wheat</span> Flour, </li>
<li>Glucose Syrup, </li>
<li>Vegetable Fats (Palm, Shea), </li>
<li>Dried Whole <span style=""font-weight: bold;"">Milk</span>, </li>
<li>Cocoa Butter, </li>
<li>Cocoa Mass, </li>
<li><span style=""font-weight: bold;"">Wheat</span> Bran, </li>
<li>Honey (2%), </li>
<li>Rice Flour, </li>
<li>Dried Whey (from <span style=""font-weight: bold;"">Milk</span>), </li>
<li>Humectant (Glycerol), </li>
<li>Salt, </li>
<li>Emulsifiers (<span style=""font-weight: bold;"">Soya</span> Lecithin, E471, E476, Sunflower Lecithin), </li>
<li>Dextrose, </li>
<li>Molasses, </li>
<li><span style=""font-weight: bold;"">Barley</span> Malt Extract, </li>
<li>Flavourings</li>
</ul>
</div>
</div>
</div>","<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3 class=""printOnlyBlock partHead"">Storage</h3>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Store in a cool, dry place</p>
</div>
</div>
</div>",Cadbury Brunch Bar Chocolate Chip 6x32g,,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3 class=""printOnlyBlock partHead"">Packaging</h3>
<div class=""itemTypeGroup"">
<div class=""nameLookups"">
<p>Box</p>
</div>
</div>
</div>","<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Dietary Information</h3>
<div class=""itemTypeGroup"">
<p class=""statements"">
<p>Suitable for Vegetarians</p>
</p>
<div class=""memo"">
<p></p>
</div>
<div class=""nameLookups"">
<p>Contains Barley</p>
<p>Contains Oats</p>
<p>Contains Wheat</p>
<p>May Contain Eggs</p>
<p>Contains Milk</p>
<p>May Contain Nuts</p>
<p>May Contain Peanuts</p>
<p>Contains Soya</p>
</div>
</div>
</div>",,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3 class=""printOnlyBlock partHead"">Manufacturer</h3>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Mondelez UK,<br>PO Box 7008,<br>Birmingham,<br>B30 2PT.<br>
<br>Mondelez Ireland,<br>Malahide Road,<br>Coolock,<br>Dublin 5.</br></br></br></br></br></br></br></br></p>
</div>
</div>
</div>","£0.52,100,
    ","
    £1.00,
",
,"<div class=""productText"">
<p>Moisturising Aftersun Lotion</p>
<p>
             
            </p>
<p>
<p>Sun Protect by Sainsbury's </p>
<p>24hr moisturisation </p>
<p>Soothing </p>
<p>Helps prevent peeling </p>
<p>Relieves tightness of skin </p>
<p>Dermatologically Tested  </p>
<p>A gentle soothing lotion that provides  intensive moisturisation to sun-exposed skin. </p>
<p>With Aloe Vera, Panthenol &amp; Shea Butter, it soothes, reduces dryness and helps to prevent peeling. </p>
<p>The lightweight and non-greasy formula helps leave your skin soft &amp; supple.  The special blend of moisturisers helps keep your skin hydrated for 24 hours, for a long-lasting beautiful tan. </p>
<p> </p>
<p>Suitable for vegetarians &amp; vegans.</p>
</p>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/33/0000001644333/0000001644333_L.jpeg,"<div class=""productText"">
<p><p>Aqua, Aloe Barbadensis Leaf Juice, Alcohol Denat., Glycerin, Cetearyl Isononanoate, Diethylhexyl Carbonate, Glyceryl, Stearate SE, Hydrogenated Coco-Glycerides, Dicaprylyl Ether, Cetearyl Alcohol, Phenoxyethanol, Panthenol, Tocopheryl Acetate, Butyrospermum Parkii Butter, Parfum, Sodium Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Cucumis Sativus Fruit Extract, Tocopherol, Benzyl Alcohol, Citronellol</p></p>
</div>","<div class=""productText"">
<p>Store away from moisture, heat and direct sunlight </p>
</div>",Sainsbury's Sun Protect Moisturising Aftersun Lotion 200ml,"<div class=""productText"">
<p>Produced in United Kingdom</p>
</div>","<div class=""productText"">
<p>Plastic - PP bottle</p>
<p>Plastic - PP cap</p>
<p>LDPE front Label</p>
<p>LDPE back Label</p>
</div>","<div class=""productText"">
<p>Benzyl Alcohol &amp; Citronellol</p>
</div>",,"<div class=""productText"">
<p>We are happy to replace this item if it is not satisfactory</p>
<p>Sainsbury's Supermarkets Ltd.</p>
<p>33 Holborn, London EC1N 2HT</p>
<p>Customer services 0800 636262</p>
</div>","£1.50,100,
    ","
    £3.00,
","<div class=""productText"">
<p>200ml</p>
</div>"
