PricePerMeasureMeasure,PricePerMeasure,Description,img,title,pricePerUnit,pricePerUnitUnit
100ml,0.60,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Chocolate ice cream with chocolate brownie pieces (13%)</p>
</div>
<div class=""longTextItems"">
<p>Fairtrade</p>
<p>Kosher - Dairy</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Chocolate Ice Cream with Chocolate Brownie Pieces<br/>
<br/>This fudge-tastic phenomenon has been a part of our flavour family since 1991 &amp; we've always used gooey, chocolatey, fudgey brownies from the Greyston Bakery in Yonkers, New York - not only are they the best brownies we've ever tasted, but Greyston Bakery help the homeless gain work skills &amp; become self-sufficient, meaning the chunks you uncover whilst enjoying this tub both do good and taste good too. Happy days!</p>
</div>
<div class=""memo"">
<p>www.info.fairtrade.net<br/>
<br/>Caring Dairy<br/>A Ben &amp; Jerry's Initiative<br/>
<br/>Visit us benjerry.com</p>
</div>
<p class=""statements"">
<p>Fairtrade Foundation</p>
</p>
<div class=""memo"">
<p>©Ben &amp; Jerry's Homemade, Inc. 2015<br/>Cows: ©Woody Jackson 1997 21543c-C5</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/38/0076840600038/0076840600038_L.jpeg,Ben & Jerry's Ice Cream Chocolate Fudge Brownie 500ml,3.00,unit
100ml,0.07,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Sparkling Lemon Flavour Soft Drink with Sugar and Sweetener</p>
</div>
<div class=""longTextItems"">
<p>Original</p>
<p>Masterfully made with lemon juice</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Original Lemonade masterfully made with Lemon Juice<br/>
<br/>Made with real lemons<br/>With Sugar and Sweeteners<br/>
<br/>Serve cold for maximum refreshment.<br/>
<br/>Store in a cool and dry place<br/>
<br/>Please recycle.</p>
</div>
<div class=""memo"">
<p>Coca-Cola and the Environment<br/>Coca-Cola is committed to making a positive difference - to the health of the planet, consumers and the communities it serves. The company is working hard to reduce its impact on the environment in everything it does - growing more while using less in areas such as energy and water use, waste reduction and recycling - and by encouraging people to think more about the positive impact they can have on their local environment.</p>
</div>
<div class=""memo"">
<p>Contains a Source of Phenylalanine.</p>
</div>
<div class=""memo"">
<p>© 2013 Atlantic Industries</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/61/5000193900861/5000193900861_L.jpeg,Schweppes Lemonade 2L,1.30,unit
100ml,0.60,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Vanilla ice cream with chunks of chocolate chip cookie dough (16%) and chocolatey chunks (1%)</p>
</div>
<div class=""longTextItems"">
<p>Ben &amp; Jerry's Cookie Dough ice cream tub</p>
<p>Vanilla ice cream with chunks of chocolate chip cookie dough</p>
<p>We operate on a three-part mission that aims to create linked prosperity for everyone that’s connected to our business: suppliers, employees, farmers, franchisees, customers, and neighbours alike</p>
<p>Includes Fairtrade certified cocoa, sugar, and vanilla</p>
<p>Kosher certified dairy<br/>Halal certified</p>
<p>Ben &amp; Jerry’s uses responsibly sourced packaging</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Big delicious chunks of chocolate-chip cookie dough surrounded by creamy vanilla ice cream. It seems like such a no-brainer today, but in 1984 it was revolutionary.<br/>The Cookie Dough you know and love started with a simple suggestion: What if you put chunks of chocolate-chip cookie dough into vanilla ice cream? That was the amazing anonymous idea submitted way back in the early days of our first Burlington, Vermont, USA, Scoop Shop. We used to have a bulletin board where people could suggest new flavours for Jerry and Ben to make—and this idea stood out. The folks at the Scoop Shop immediately went to work mixing up a batch of Chocolate Chip Cookie Dough. It was an instant hit.<br/>Initially, the flavour was only available at the Scoop Shop. When we decided to sell it in tubs, we had to figure out how to get that familiar cookie-dough taste, consistency and texture at ice cream temperatures. We teamed up with local producer Rhino Foods and, over an incredible six-year journey, we perfected the cookie dough found in our tubs today. In 1991, Chocolate Chip Cookie Dough began appearing in freezer aisles everywhere. It has remained one of our most popular and beloved flavours ever since!<br/>We work with Fairtrade certified producers for cocoa, sugar, and vanilla, and our Caring Dairy farmers produce the milk and cream in this tub in a sustainable way. All of Ben &amp; Jerry’s ice cream is made with cage-free eggs, and we use responsibly-sourced packaging.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0076840600021/0076840600021_L.jpeg,Ben & Jerry's Ice Cream Cookie Dough 500ml,3.00,unit
100ml,0.69,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>CHOCOLATE: Chocolate ice cream (milk chocolate 6%) with a chocolate flavour coating (8%), chocolate sauce (20%) and milk chocolate (20%). CARAMEL:  Vanilla ice cream with a chocolate flavour coating (8%), caramel sauce (20%) and milk chocolate (20%).</p>
</div>
<div class=""longTextItems"">
<p>Magnum mini double chocolate and caramel ice cream</p>
<p>Velvety ice cream enrobed in a chocolatey coating, followed by a luscious sauce layer, finally wrapped in a layer of cracking magnum chocolate, all in a mini Magnum portion</p>
<p>6 ice cream sticks x 60ml</p>
<p>Gluten Free</p>
<p>Frozen ice cream to be stored at -18˚C</p>
<p>Magnum chocolate uses Rainforest Alliance Certified cocoa</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Magnum Mini Double caramel and chocolate (6x60ml). Velvety ice cream enrobed in a chocolatey coating, followed by a luscious sauce layer, finally wrapped in a layer of cracking magnum chocolate, all in a mini Magnum portion.  Our philosophy: Since 1989, Pleasure Seekers around the world have been discovering Magnum. Thick Chocolate. Velvety ice cream. The perfect balance. Magnum never stopped working, adding new flavours. New textures. We love film, we love fashion. We believe a day without pleasure is a day lost. So make time to indulge in a little glamour. Our chocolate: We’re working closely with the Rainforest Alliance to make sure all our cocoa beans are responsibly sourced. Our cocoa beans have a long way to go before they become Magnum chocolate. It’s about quality and sustainability throughout every step of the journey. Magnum also has a wide range of ice creams: Magnum Classic, Magnum White Chocolate, Magnum Double Chocolate, Magnum Double Caramel, Magnum Mini Classic, Almond &amp; White and many others. Which one will satisfy your indulgence? Our cocoa beans have a long way to go before they become Magnum chocolate. It's about quality and sustainability throughout every step of the way. Have you tried Magnum Tubs? The unique Magnum experience with cracking chocolate and velvety ice cream in a tub #madetobebroken</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/61/8712100880261/8712100880261_L.jpeg,Magnum Mini Ice Cream Double Caramel & Double Chocolate 6x60ml,2.50,unit
100ml,0.31,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""longTextItems"">
<p>Orange fruit ice and Lemon and Lime fruit ice</p>
<p>Responsibly made for kids</p>
<p>A great combination of exciting colours, shapes and yummy flavours</p>
<p>Tasty and fun!</p>
<p>Without artificial colours and flavours</p>
<p>Gluten free</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Calippo orange fruit ice and lemon and lime fruit ice, available in a pack of 6. Enjoy a refreshing mix of Orange and Lemon-lime flavour Calippos, in a fun mini pack, each Calippo is 80ml.<br/>Wall's has been making kids ice cream for over 35 years. All Walls kids ice creams are formulated according to our set nutritional criteria for calories, saturated fat and sugar. That's because at Walls we believe that there is a place for occasional treats within a balanced diet and active lifestyle. Ice cream is a ‘fun food’, and we have specially designed our kids ice creams to have fun tastes, textures, shapes and colours, while also meeting our strict nutrition criteria. Unilever is committed to help 1 billion people take actions to improve their health and well being, through the Unilever Sustainable Living Plan. Thus, we have taken responsibility by setting strict nutrition criteria for all of our kids ice creams, to reassure mums that our entire kids range will contain no more than:<br/>110kcal per serving<br/>3g saturated fat per serving<br/>20g of added sugar per 100g<br/>Enjoy the summer feeling all year round with our classic Calippo ice lollies!<br/>For more information on our kids range please visit www.icecreamjoy.com</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/12/8722700058212/8722700058212_L.jpeg,"Calippo Mini Ice Lolly, Orange, Lemon & Lime 6x80ml",1.50,unit
100ml,0.55,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Vanilla ice cream with a swirl (12%) and a coating (38%) of exotic fruit sorbet</p>
</div>
<div class=""longTextItems"">
<p>A delicious combination of creamy vanilla ice cream with a tangy exotic fruit sorbet swirl and coating</p>
<p>Made with sustainably sourced fruits and containing only 98 calories</p>
<p>Our solero exotic ice creams are a fruit lovers dream</p>
<p>Great fruit, great taste</p>
<p>Gluten free and no artificial colours or flavours</p>
<p>Solero is a part of the walls family</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Great fruit, great taste, try a Solero.<br/>Our Solero Exotic ice cream is a fruit-lovers dream; a delicious combination of creamy vanilla ice cream and exotic fruit sorbet, swirled through the ice cream and coating the outside of the ice lolly.<br/>Our Solero Exotic ice creams are also made with sustainably sourced fruits. Additionally this delicious treat only contains 98calories and no artificial colours or flavours. Our Solero Red Berries ice lolly is also gluten free.<br/>Solero is a part of the Walls family which also includes the delicious Cornetto, Twister, Calippo and Mini Milk ice lollies.<br/>Make sure to try Solero ice lollies today to experience the Solero great taste for yourself.<br/>When you are looking for that great fruity feeling, nothing beats a refreshing Solero a deliciously light product, at only 98 calories, Solero Exotic is also a great way to cool you down during hot summer days or when you fancy a fruitier tasting treat.<br/>At Solero, we know that there is just something special about ice cream that is combined with fruit that makes it completely irresistible, so we make sure that you get the very best of our sustainably sourced fruits in every single Solero Exotic ice lolly that you eat.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/88/8712100889288/8712100889288_L.jpeg,Wall's Solero Exotic Ice Cream Lolly 3 x 90ml,1.50,unit
100ml,0.76,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>see note</p>
</div>
<div class=""longTextItems"">
<p>Magnum mini classic, almond and white chocolate ice cream</p>
<p>The perfect balance of cracking Magnum chocolate and velvety ice cream in a mini size, three deliciously indulgent options for pleasure whenever</p>
<p>6 ice cream sticks x 55ml</p>
<p>Gluten free ice creams</p>
<p>Frozen ice cream to be stored at -18˚C</p>
<p>Magnum chocolate uses Rainforest Alliance Certified cocoa</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Velvety vanilla ice cream dipped in either delicious Magnum classic chocolate, decadent white chocolate, or indulgent milk chocolate with roasted almond pieces. All in a mini portion, for pleasure whenever. Our philosophy: Since 1989, Pleasure Seekers around the world have been discovering Magnum. Thick Chocolate. Velvety ice cream. The perfect balance. Magnum never stopped working, adding new flavours. New textures. We love film, we love fashion. We believe a day without pleasure is a day lost. So make time to indulge in a little glamour. Our chocolate: We’re working closely with the Rainforest Alliance to make sure all our cocoa beans are responsibly sourced. Our cocoa beans have a long way to go before they become Magnum chocolate. It’s about quality and sustainability throughout every step of the journey. Magnum also has a wide range of ice creams: Magnum Classic, Magnum White Chocolate, Magnum Double Chocolate, Magnum Double Caramel, Magnum Mini Classic, Almond &amp; White and many others. Which one will satisfy your indulgence? Our cocoa beans have a long way to go before they become Magnum chocolate. It's about quality and sustainability throughout every step of the way. Have you tried Magnum Tubs? The unique Magnum experience with cracking chocolate and velvety ice cream in a tub #madetobebroken</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/98/8714100635698/8714100635698_L.jpeg,"Magnum Mini Ice Cream, Classic, Almond & White 6x55ml",2.50,unit
75cl,7.50,"<div class=""productText"">
<p>Sainsbury's Taste the Difference Spanish Albarino</p>
<p>
             
            </p>
<p>
<p>Zesty and herbaceous with lime, peach and green apple flavours and a touch of minerality. Perfect with fresh fish</p>
</p>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/68/0000001294668/0000001294668_L.jpeg,"Sainsbury's Albarino, Taste the Difference 75cl",7.50,unit
75cl,6.00,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Moscato - Rosé American Wine</p>
</div>
<div class=""longTextItems"">
<p>Wine of California, U.S.A</p>
<p>Deliciously sweet</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Barefoot Pink Moscato is a juicy and refreshing wine with ripe nectarine aromas and flavours. Layers of raspberry and pomegranate complement the lingering sweet citrus finish.</p>
</div>
<div class=""memo"">
<p>© Barefoot Cellars 2007</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/95/0085000021095/0085000021095_L.jpeg,Barefoot Pink Moscato 75cl,6.00,unit
75cl,6.00,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Syrah - Red South African Wine</p>
</div>
<div class=""longTextItems"">
<p>Wine of Swartland, South Africa</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Tasting Notes<br/>Spicy, aromatic, rich, textured, French oaked and lingering<br/>
<br/>The Crested porcupines are widely represented in Southern Africa. They are covered in spines and quills which when raised present a formidable fence of sharp spikes. They are noisy animals and move with a ponderous gait accompanied by much snuffling and grunting. A diet of potatoes, pumpkin and root vegetables tend to make them a problem in farming areas. They are, however, nocturnal and shy and the families that reside at Boekenhoutskloof are very welcome.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/62/6002039005562/6002039005562_L.jpeg,Porcupine Ridge Shiraz 75cl,6.00,unit
